target_model,predictor,unique_r2,relative_r2
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_7,0.1616110698166256,0.3148858295524011
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_8,0.1186975885917848,0.2312724536258761
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_4,0.0735791581863432,0.1433629162257456
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_10,0.0716120700653788,0.1395302073928955
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_9,0.0450097419551311,0.087697766926254
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_2,0.023033913161363,0.0448796784891255
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_5,0.009033428466396,0.0176008897136252
EleutherAI_pythia-12b-deduped — PPMI,C(tense),0.00640970742466,0.0124887858356014
EleutherAI_pythia-12b-deduped — PPMI,log_frequency,0.0015606183209315,0.0030407359790316
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_1,0.0014235703455419,0.0027737093114401
EleutherAI_pythia-12b-deduped — PPMI,C(syntactic_role),0.0004978584682764,0.0009700361303269
EleutherAI_pythia-12b-deduped — PPMI,lex_emb_norm,0.0004611819874091,0.0008985750347717
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_6,0.0002047505691915,0.0003989395831879
EleutherAI_pythia-12b-deduped — PPMI,"C(dominance, Treatment(reference='-dom'))",4.64265372970285e-05,9.045827570232682e-05
EleutherAI_pythia-12b-deduped — PPMI,C(semantic_role),3.358157852473287e-05,6.543093380569762e-05
EleutherAI_pythia-12b-deduped — PPMI,"C(valence, Treatment(reference='-val'))",1.3486187722566711e-05,2.627672357678409e-05
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_3,8.884269937503575e-06,1.7310266632183866e-05
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_9,0.1769245051574293,0.6401877042067793
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_10,0.0236370783041596,0.0855289485209019
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_8,0.020271515651094,0.0733509191048358
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_5,0.0174120087748967,0.0630040135667515
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_6,0.0152274405240662,0.0550993214951935
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_3,0.0109136844260694,0.0394903270801619
EleutherAI_pythia-12b-deduped — Raw counts,C(tense),0.0064097074246601,0.0231930329672483
EleutherAI_pythia-12b-deduped — Raw counts,lex_emb_norm,0.0036203376272363,0.0130999130503236
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_2,0.0005964376246659,0.0021581636376357
EleutherAI_pythia-12b-deduped — Raw counts,C(syntactic_role),0.0004978584682766,0.0018014625477818
EleutherAI_pythia-12b-deduped — Raw counts,log_frequency,0.0004388069077725,0.0015877890212382
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_1,0.0001971232532381,0.0007132753194591
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_7,8.16661320225398e-05,0.0002955026129615
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_4,5.530687209809315e-05,0.0002001236597713
EleutherAI_pythia-12b-deduped — Raw counts,"C(dominance, Treatment(reference='-dom'))",4.6426537297139525e-05,0.0001679908518047
EleutherAI_pythia-12b-deduped — Raw counts,C(semantic_role),3.3581578524954914e-05,0.0001215123571514
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_9,0.1913939237561132,0.6489002135966894
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_7,0.023986207916174,0.0813226205656007
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_3,0.0227630304819576,0.0771755709479698
EleutherAI_pythia-12b-deduped — TF-IDF,log_frequency,0.0220634708841312,0.0748037904674591
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_8,0.0137713497126072,0.0466902584713855
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_6,0.0092157360492786,0.0312449474542767
EleutherAI_pythia-12b-deduped — TF-IDF,C(tense),0.0064097074246597,0.0217314135962539
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_1,0.003471657160313,0.0117702747749308
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_10,0.0011147636330705,0.003779484454956
EleutherAI_pythia-12b-deduped — TF-IDF,C(syntactic_role),0.0004978584682764,0.0016879348103922
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_4,0.0002635362386523,0.0008934908600855
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_7,0.0783578919059357,0.1871052871651859
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_10,0.0696255345553829,0.1662539065325167
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_9,0.0531035200256553,0.126802152561863
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_2,0.0400224337750972,0.095566748701313
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_5,0.0336143105257604,0.0802652428594204
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_3,0.0319484745649,0.0762875105819741
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_1,0.0311901447633496,0.0744767482983828
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,log_frequency,0.0304517513849029,0.0727135907943371
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_4,0.0292148090562853,0.0697599833915168
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_8,0.0072407573475984,0.0172896941183943
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(tense),0.0046743460040292,0.011161541360036
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,lex_emb_norm,0.0033890799561718,0.0080925451540546
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_6,0.0023063440455436,0.0055071563877852
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0015592697253791,0.0037232702748724
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.001437087294189,0.0034315194592455
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(semantic_role),0.0006236061522624,0.0014890651772141
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(syntactic_role),3.100605858474825e-05,7.403718188748814e-05
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_7,0.19797142782569,0.334408689575069
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_8,0.1828949111873161,0.3089417915091801
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_9,0.0879734754769256,0.1486027300742919
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_4,0.0456758546675968,0.0771545817109586
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_10,0.0294051130411443,0.0496704268231772
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_2,0.0225664525235808,0.038118721977462
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_5,0.0102960796368671,0.0173918960778364
EleutherAI_pythia-2.8b-deduped — PPMI,C(tense),0.0046743460040292,0.0078957955650257
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_6,0.0024787838774991,0.0041871035498321
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_3,0.0024521443647702,0.0041421047101489
EleutherAI_pythia-2.8b-deduped — PPMI,log_frequency,0.0019958847021099,0.0033714015962101
EleutherAI_pythia-2.8b-deduped — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0015592697253791,0.0026338818246904
EleutherAI_pythia-2.8b-deduped — PPMI,"C(valence, Treatment(reference='-val'))",0.001437087294189,0.0024274941294956
EleutherAI_pythia-2.8b-deduped — PPMI,C(semantic_role),0.0006236061522624,0.0010533808766214
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_9,0.1786692691200894,0.5878391416023886
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_3,0.0368652028185239,0.1212900757167892
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_8,0.0256129306718866,0.084269014219583
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_5,0.0133737123764753,0.0440008046271262
EleutherAI_pythia-2.8b-deduped — Raw counts,lex_emb_norm,0.0108729040675178,0.0357729038980892
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_10,0.0079270480923385,0.0260807533885927
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_1,0.0066511249452364,0.0218828430751016
EleutherAI_pythia-2.8b-deduped — Raw counts,C(tense),0.0046743460040294,0.0153790495483271
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_6,0.0043780160812887,0.0144040954990219
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_7,0.0042641283216787,0.014029393776796
EleutherAI_pythia-2.8b-deduped — Raw counts,log_frequency,0.0033615641975519,0.0110598706876787
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_4,0.0033582787139433,0.0110490611294724
EleutherAI_pythia-2.8b-deduped — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0015592697253792,0.0051301479062828
EleutherAI_pythia-2.8b-deduped — Raw counts,"C(valence, Treatment(reference='-val'))",0.001437087294189,0.0047281559139079
EleutherAI_pythia-2.8b-deduped — Raw counts,C(semantic_role),0.0006236061522625,0.0020517244350374
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_2,0.0002829557257271,0.000930951650175
EleutherAI_pythia-2.8b-deduped — Raw counts,C(syntactic_role),3.1006058584859275e-05,0.0001020129256293
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_9,0.1883855195610736,0.6759088446887154
EleutherAI_pythia-2.8b-deduped — TF-IDF,log_frequency,0.0218985483892776,0.0785698528031398
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_3,0.0147283487888503,0.0528438769457378
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_10,0.0117118021307546,0.0420208021607246
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_7,0.0094610691478674,0.0339453920458148
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_5,0.0081549755249409,0.0292592556921054
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_6,0.007203165034209,0.0258442526140974
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_1,0.0048572977540678,0.0174275099323476
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(tense),0.0046743460040297,0.0167710969219944
EleutherAI_pythia-2.8b-deduped — TF-IDF,lex_emb_norm,0.0027131500272836,0.0097345173062197
EleutherAI_pythia-2.8b-deduped — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0015592697253795,0.0055945074817585
EleutherAI_pythia-2.8b-deduped — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0014370872941891,0.0051561288521291
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_4,0.0006916826568322,0.0024816898164997
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(semantic_role),0.000623606152263,0.0022374379670952
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_2,0.0003143965594906,0.001128024148536
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_8,0.0002691165545345,0.0009655639132235
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(syntactic_role),3.10060585849703e-05,0.0001112467098604
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_10,0.0802878070897968,0.1447337659711113
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_7,0.0673707561900793,0.1214483694741601
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_2,0.0649801185093105,0.1171387986046614
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_3,0.0619145446594564,0.1116125292465297
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,log_frequency,0.0605591036298183,0.1091690936629438
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_1,0.0596825957256941,0.1075890244785226
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_9,0.0596575642165018,0.1075439005085867
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_4,0.0438430549053642,0.0790352941267214
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_5,0.0286803238989314,0.0517016398582287
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,lex_emb_norm,0.0151540122239826,0.0273179370348998
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_8,0.0074694503079622,0.0134650790947163
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(tense),0.0026311513221793,0.0047431416238953
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(syntactic_role),0.0011487498212808,0.0020708360810835
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0008780446355208,0.0015828394297472
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_6,0.0003302831014161,0.0005953969704405
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(semantic_role),8.292639094487075e-05,0.0001494903061235
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",5.7061232445088095e-05,0.0001028635276274
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_7,0.1782721748042471,0.3287699097044658
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_8,0.1590097370013129,0.2932460824772921
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_9,0.0642429072943721,0.1184769011401541
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_4,0.0598587680043588,0.1103916624869983
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_10,0.0293286107427525,0.0540878839686564
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_2,0.0275502470259,0.0508082219616534
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_5,0.0143495599219273,0.0264634877821576
EleutherAI_pythia-6.9b-deduped — PPMI,C(tense),0.0026311513221792,0.0048523746544379
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_1,0.0023994738377127,0.0044251145633315
EleutherAI_pythia-6.9b-deduped — PPMI,C(syntactic_role),0.0011487498212807,0.0021185267719441
EleutherAI_pythia-6.9b-deduped — PPMI,"C(valence, Treatment(reference='-val'))",0.0008780446355211,0.0016192917142214
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_6,0.000864424847723,0.0015941740736841
EleutherAI_pythia-6.9b-deduped — PPMI,lex_emb_norm,0.000803723026715,0.0014822276511219
EleutherAI_pythia-6.9b-deduped — PPMI,log_frequency,0.0007623761130294,0.0014059755882641
EleutherAI_pythia-6.9b-deduped — PPMI,C(semantic_role),8.29263909450928e-05,0.0001529330199346
EleutherAI_pythia-6.9b-deduped — PPMI,"C(dominance, Treatment(reference='-dom'))",5.7061232445088095e-05,0.0001052324416819
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_9,0.1684909924480843,0.6425241988720323
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_10,0.0207362254790461,0.0790756020245963
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_3,0.0194663327526735,0.0742329882159238
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_5,0.0138600131779432,0.0528538275792859
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_8,0.0127534084175769,0.048633896728434
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_6,0.0119255812417098,0.0454770573909102
EleutherAI_pythia-6.9b-deduped — Raw counts,lex_emb_norm,0.0051893459524174,0.0197890718210009
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_4,0.0032616557210356,0.0124380104758451
EleutherAI_pythia-6.9b-deduped — Raw counts,C(tense),0.0026311513221792,0.0100336425753752
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_1,0.0012441208588475,0.0047443352698945
EleutherAI_pythia-6.9b-deduped — Raw counts,C(syntactic_role),0.0011487498212809,0.0043806469882975
EleutherAI_pythia-6.9b-deduped — Raw counts,"C(valence, Treatment(reference='-val'))",0.0008780446355209,0.0033483387913798
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_2,0.0003625112846981,0.0013824019278329
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding_7,0.0001447400002648,0.0005519520738984
EleutherAI_pythia-6.9b-deduped — Raw counts,C(semantic_role),8.292639094498178e-05,0.0003162318182895
EleutherAI_pythia-6.9b-deduped — Raw counts,"C(dominance, Treatment(reference='-dom'))",5.7061232445088095e-05,0.0002175975233496
EleutherAI_pythia-6.9b-deduped — Raw counts,log_frequency,5.24265620915898e-08,1.9992365359170627e-07
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_9,0.1649508877249645,0.652418311051704
EleutherAI_pythia-6.9b-deduped — TF-IDF,log_frequency,0.0315863988889486,0.1249313980637306
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_1,0.0147190523391258,0.0582172027069409
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_3,0.0146556282608384,0.0579663460391958
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_8,0.0100048682110875,0.0395715313242583
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_7,0.0083102393886604,0.0328688885592742
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_6,0.003254124133166,0.0128708017288922
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(tense),0.0026311513221793,0.0104068024453434
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(syntactic_role),0.0011487498212807,0.0045435670493061
EleutherAI_pythia-6.9b-deduped — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0008780446355212,0.0034728664151836
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_10,0.0003529978291139,0.0013961867720252
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding_4,0.000125168658867,0.0004950705397281
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(semantic_role),8.29263909450928e-05,0.000327992753893
EleutherAI_pythia-6.9b-deduped — TF-IDF,lex_emb_norm,7.264926633909763e-05,0.0002873443865493
EleutherAI_pythia-6.9b-deduped — TF-IDF,"C(dominance, Treatment(reference='-dom'))",5.706123244519912e-05,0.0002256901639747
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_10,0.08859254190771,0.1524096925218963
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_2,0.0799726785758225,0.1375805580179748
Qwen_Qwen3-4B-Base — log(1 + x) counts,log_frequency,0.0720556915388754,0.1239606128846934
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_1,0.0708549023172587,0.1218948417474247
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_3,0.065467858247504,0.1126272700919175
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_7,0.0630587886117727,0.1084828403855419
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_4,0.040307828708048,0.0693433515658526
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_9,0.0339502582453227,0.0584061401646982
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_5,0.0242853687276775,0.0417792006060962
Qwen_Qwen3-4B-Base — log(1 + x) counts,lex_emb_norm,0.0181468508979327,0.0312188351980668
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(syntactic_role),0.0129585927854181,0.0222932438714703
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_8,0.0035801770349584,0.0061591378836426
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(tense),0.0034350113818989,0.0059094029503049
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(semantic_role),0.0020073104622911,0.0034532655206178
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0015795509985049,0.0027173718782736
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding_6,0.0009474233726084,0.001629894591553
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",7.80890802403178e-05,0.0001343401199746
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_7,0.208560411314932,0.4066416801987793
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_8,0.1389889710172844,0.2709944248154706
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_9,0.0471766777615321,0.0919829577923943
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_4,0.0444011468048202,0.0865713527587968
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_10,0.0253104674919131,0.0493492075635892
Qwen_Qwen3-4B-Base — PPMI,C(syntactic_role),0.0129585927854181,0.0252660795500498
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_5,0.0109828411059254,0.0214138480669076
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_2,0.0090376474620443,0.0176211972628903
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_6,0.003672319195797,0.0071601222810698
Qwen_Qwen3-4B-Base — PPMI,C(tense),0.0034350113818988,0.0066974302123332
Qwen_Qwen3-4B-Base — PPMI,lex_emb_norm,0.0027201701823054,0.005303665093415
Qwen_Qwen3-4B-Base — PPMI,C(semantic_role),0.0020073104622911,0.0039137633739804
Qwen_Qwen3-4B-Base — PPMI,"C(valence, Treatment(reference='-val'))",0.0015795509985049,0.003079737271048
Qwen_Qwen3-4B-Base — PPMI,log_frequency,0.0012996337573127,0.0025339672634165
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_1,0.0006353546170823,0.0012387857665962
Qwen_Qwen3-4B-Base — PPMI,"C(dominance, Treatment(reference='-dom'))",7.808908024020678e-05,0.0001522545654462
Qwen_Qwen3-4B-Base — PPMI,profession_embedding_3,4.078777519223031e-05,7.952616381588012e-05
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_9,0.134224894262672,0.4497177087073532
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_10,0.0435357196257264,0.1458655205843757
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_5,0.0387353548242518,0.1297819984379258
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_8,0.0245558610515258,0.0822739002931698
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_6,0.0176189848520845,0.0590320412689092
Qwen_Qwen3-4B-Base — Raw counts,C(syntactic_role),0.0129585927854182,0.0434174948510323
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_3,0.0116037370191958,0.0388780788644411
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_7,0.0041755774575887,0.0139901851819087
Qwen_Qwen3-4B-Base — Raw counts,C(tense),0.0034350113818989,0.0115089339912475
Qwen_Qwen3-4B-Base — Raw counts,C(semantic_role),0.0020073104622913,0.0067254518375656
Qwen_Qwen3-4B-Base — Raw counts,log_frequency,0.0018655528363309,0.0062504958684148
Qwen_Qwen3-4B-Base — Raw counts,"C(valence, Treatment(reference='-val'))",0.001579550998505,0.0052922526759005
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_2,0.0014255891032977,0.0047764065571814
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_4,0.0002864431823926,0.0009597219082801
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_1,0.0002379527540784,0.000797255739575
Qwen_Qwen3-4B-Base — Raw counts,lex_emb_norm,0.0001405522547562,0.0004709173980718
Qwen_Qwen3-4B-Base — Raw counts,"C(dominance, Treatment(reference='-dom'))",7.808908024042882e-05,0.0002616358346467
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_9,0.2123861059494639,0.6745128054376909
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_3,0.0206536824796488,0.0655936189878732
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_6,0.0188944183774942,0.0600064071514622
Qwen_Qwen3-4B-Base — TF-IDF,C(syntactic_role),0.0129585927854181,0.0411549368313989
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_7,0.0112330263984096,0.0356747448976242
Qwen_Qwen3-4B-Base — TF-IDF,lex_emb_norm,0.0095541322690406,0.0303427784576774
Qwen_Qwen3-4B-Base — TF-IDF,log_frequency,0.0087118912767113,0.0276679220585217
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_4,0.0048757605617868,0.0154848308954628
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_2,0.0043824196330585,0.0139180392619603
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_10,0.003462533397841,0.0109965908817746
Qwen_Qwen3-4B-Base — TF-IDF,C(tense),0.003435011381899,0.0109091842592868
Qwen_Qwen3-4B-Base — TF-IDF,C(semantic_role),0.0020073104622913,0.0063749773331533
Qwen_Qwen3-4B-Base — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0015795509985051,0.0050164645684832
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_8,0.000354328159874,0.0011253037485374
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_5,0.0002914319794882,0.0009255530214656
Qwen_Qwen3-4B-Base — TF-IDF,"C(dominance, Treatment(reference='-dom'))",7.808908024020678e-05,0.0002480015552401
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_1,1.5063746432342208e-05,4.7840652386643537e-05
Qwen_Qwen3-8B-Base — log(1 + x) counts,profession_embedding_7,0.0863282071582683,0.240237601096119
