target_model,predictor,folded_shapley_r2
google_gemma-3-12b-pt,C(tense),0.00457103797268615
google_gemma-3-12b-pt,"C(valence, Treatment(reference='-val'))",0.002209721943431084
google_gemma-3-12b-pt,lex_emb_norm,0.02890124150038205
google_gemma-3-12b-pt,log_frequency,0.02558634030032045
google_gemma-3-4b-pt,"C(dominance, Treatment(reference='-dom'))",0.004046217503035873
google_gemma-3-4b-pt,C(semantic_role),0.003919132757485244
google_gemma-3-4b-pt,C(syntactic_role),0.01311305361645475
google_gemma-3-4b-pt,C(tense),0.0066926932039353
google_gemma-3-4b-pt,"C(valence, Treatment(reference='-val'))",0.00483028957769665
google_gemma-3-4b-pt,lex_emb_norm,0.02951754943980145
google_gemma-3-4b-pt,log_frequency,0.031033438492416198
gpt2,"C(dominance, Treatment(reference='-dom'))",0.007479469910617602
gpt2,C(semantic_role),0.00674467066292665
gpt2,C(syntactic_role),0.007727059597527592
gpt2,C(tense),0.0109212275361179
gpt2,"C(valence, Treatment(reference='-val'))",0.00740289773031295
gpt2,lex_emb_norm,0.0448805580384348
gpt2,log_frequency,0.0143975047011013
meta-llama_Llama-3.1-70B,"C(dominance, Treatment(reference='-dom'))",0.0034865834536581056
meta-llama_Llama-3.1-70B,C(semantic_role),0.0024349253703834966
meta-llama_Llama-3.1-70B,C(syntactic_role),0.003241209542047
meta-llama_Llama-3.1-70B,C(tense),0.01256395236674105
meta-llama_Llama-3.1-70B,"C(valence, Treatment(reference='-val'))",0.0028952721372446913
meta-llama_Llama-3.1-70B,lex_emb_norm,0.00221258447090295
meta-llama_Llama-3.1-70B,log_frequency,0.00046044131784378495
meta-llama_Llama-3.1-8B,"C(dominance, Treatment(reference='-dom'))",0.0031508597270891573
meta-llama_Llama-3.1-8B,C(semantic_role),0.002746553311781594
meta-llama_Llama-3.1-8B,C(syntactic_role),0.00784565122614595
meta-llama_Llama-3.1-8B,C(tense),0.0079570879934896
meta-llama_Llama-3.1-8B,"C(valence, Treatment(reference='-val'))",0.003047099767018552
meta-llama_Llama-3.1-8B,lex_emb_norm,0.00233564316166155
meta-llama_Llama-3.1-8B,log_frequency,0.00299946175103115
mistralai_Mistral-7B-v0.3,"C(dominance, Treatment(reference='-dom'))",0.00219479188381245
mistralai_Mistral-7B-v0.3,C(semantic_role),0.0019100379099861707
mistralai_Mistral-7B-v0.3,C(syntactic_role),0.0022831840109724
mistralai_Mistral-7B-v0.3,C(tense),0.0073155275683027
mistralai_Mistral-7B-v0.3,"C(valence, Treatment(reference='-val'))",0.0017543770053224399
mistralai_Mistral-7B-v0.3,lex_emb_norm,0.01479223301532305
mistralai_Mistral-7B-v0.3,log_frequency,0.0159384355080808
tiiuae_Falcon3-10B-Base,"C(dominance, Treatment(reference='-dom'))",0.005971966158712522
tiiuae_Falcon3-10B-Base,C(semantic_role),0.006016578030995605
tiiuae_Falcon3-10B-Base,C(syntactic_role),0.0116536535066482
tiiuae_Falcon3-10B-Base,C(tense),0.0128539752281959
tiiuae_Falcon3-10B-Base,"C(valence, Treatment(reference='-val'))",0.0086590670905385
tiiuae_Falcon3-10B-Base,lex_emb_norm,0.0455159665520565
tiiuae_Falcon3-10B-Base,log_frequency,0.02344448358855215
tiiuae_Falcon3-3B-Base,"C(dominance, Treatment(reference='-dom'))",0.0068352437156027
tiiuae_Falcon3-3B-Base,C(semantic_role),0.00703027245113692
tiiuae_Falcon3-3B-Base,C(syntactic_role),0.0121368758838625
tiiuae_Falcon3-3B-Base,C(tense),0.01185499504133675
tiiuae_Falcon3-3B-Base,"C(valence, Treatment(reference='-val'))",0.007784669002253932
tiiuae_Falcon3-3B-Base,lex_emb_norm,0.0364899940480192
tiiuae_Falcon3-3B-Base,log_frequency,0.00882470019614385
tiiuae_Falcon3-7B-Base,"C(dominance, Treatment(reference='-dom'))",0.007562529386513476
tiiuae_Falcon3-7B-Base,C(semantic_role),0.007321704349648462
tiiuae_Falcon3-7B-Base,C(syntactic_role),0.02056741702366755
tiiuae_Falcon3-7B-Base,C(tense),0.0171735697723116
tiiuae_Falcon3-7B-Base,"C(valence, Treatment(reference='-val'))",0.0089455591831121
tiiuae_Falcon3-7B-Base,lex_emb_norm,0.04349504192740625
tiiuae_Falcon3-7B-Base,log_frequency,0.0337725327383208
