target_model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
Qwen_Qwen3-4B-Base,C(syntactic_role):log_frequency,0.0005068373504069,4.171514894340497e-05,0.0136394055264084,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(semantic_role):log_frequency,0.0004470129709463,4.241872019071528e-05,0.0120294827944438,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,log_frequency,0.0004309551517079,4.153056841738749e-05,0.0115973538120661,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(valence, Treatment(reference='-val')):log_frequency",0.0004235985546741,3.969714871766574e-05,0.0113993817996294,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(dominance, Treatment(reference='-dom')):log_frequency",0.0004099298362863,4.092484991078972e-05,0.0110315454652141,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(semantic_role),0.0003974474715336,3.580832896451431e-05,0.0106956348724898,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(valence, Treatment(reference='-val'))",0.0003095919957069,2.806980784596707e-05,0.0083313725276692,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(syntactic_role):lex_emb_norm,0.0001793019541786,2.536850631196788e-06,0.0048251614896909,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(tense):lex_emb_norm,7.288403431974499e-05,2.895037526199912e-06,0.0019613686712107,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(semantic_role):lex_emb_norm,4.9906393911276494e-05,3.096383964836928e-06,0.0013430216703051,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(valence, Treatment(reference='-val')):lex_emb_norm",4.0106400543806095e-05,3.578262787197589e-06,0.0010792958742726,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(dominance, Treatment(reference='-dom')):lex_emb_norm",3.635427036151628e-05,3.4001963138706217e-06,0.0009783229978597,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,lex_emb_norm,1.955730341956085e-05,3.199473535733394e-06,0.0005263029493154,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(dominance, Treatment(reference='-dom'))",1.561781604804313e-05,1.3982989325224016e-06,0.0004202881384828,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,log_frequency:lex_emb_norm,0.0281407802837357,0.0002093992199393,0.4577405288504805,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(tense):C(syntactic_role),0.0040176500510445,0.0002808212099887,0.0653514664681911,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0032528218087013,0.0002295818531773,0.0529106997019505,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(semantic_role):C(syntactic_role),0.0025958184877502,0.0001998366733544,0.0422238230568678,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0023489363791126,0.0001936280618141,0.0382080158961541,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(tense):C(valence, Treatment(reference='-val'))",0.0023426099862381,0.0001620226589301,0.0381051102058751,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(syntactic_role),0.0021745072826749,0.0001934801229279,0.0353707361176517,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0018836138336722,0.0001399545395337,0.0306390364333127,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(tense):C(semantic_role),0.0018139029027814,0.0001411743647368,0.0295051119987067,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(tense),0.0015379557115001,0.0001351668514332,0.025016529521663,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(tense):lex_emb_norm,0.0013194483620921,0.0001253804067176,0.0214622688129233,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0012512497506659,0.0001404477234314,0.0203529439062809,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0012390790623889,0.0001454974525476,0.020154974367689,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(syntactic_role):lex_emb_norm,0.0012141927627581,0.0001146699209673,0.0197501715214538,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,lex_emb_norm,0.0010216887677512,0.0001329031631782,0.0166188837749229,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0010108229009909,6.436459418579197e-05,0.0164421385835275,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(semantic_role):lex_emb_norm,0.0009859749404658,0.0001297657330715,0.0160379593647225,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0007171252388348,6.142612555868044e-05,0.0116648253092689,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(valence, Treatment(reference='-val'))",0.0006389183499145,5.7928872710061e-05,0.0103927048373701,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(syntactic_role):log_frequency,0.0004738800530569,3.210029194221809e-05,0.0077081766713958,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(tense):log_frequency,0.000289433689303,3.498120109653864e-05,0.0047079550983632,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(semantic_role):log_frequency,0.0002502412894552,4.140801268140098e-05,0.0040704479058701,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0002309458450986,1.7601141627194625e-05,0.003756586427433,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(valence, Treatment(reference='-val')):log_frequency",0.000202722883416,3.291495747230587e-05,0.0032975091283664,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(dominance, Treatment(reference='-dom')):log_frequency",0.0001723324886475,3.5369331290321104e-05,0.0028031761627183,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,log_frequency,0.0001302867185191,2.6147907288717224e-05,0.002119255785939,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,C(semantic_role),0.0001259934620209,1.1351475751038058e-05,0.0020494212795699,500,0,0.0614775806599546,OLS fixed-effect R2
Qwen_Qwen3-8B-Base,"C(dominance, Treatment(reference='-dom'))",9.464736736309454e-05,8.473996129979548e-06,0.0015395428113316,500,0,0.0614775806599546,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,C(tense):C(syntactic_role),0.0021410416839023,0.0001269390416037,0.1129194518455784,500,0,0.0189607870823738,OLS fixed-effect R2
