target_model,embedding_method,embedding_method_label,model_name,model_dir,formula,model_type,optimizer,converged,nobs,aic,bic,log_likelihood,residual_variance,R2m,R2c,warnings,fixed_effect_variance_C(tense),fixed_effect_variance_C(semantic_role),fixed_effect_variance_C(syntactic_role),"fixed_effect_variance_C(valence, Treatment(reference='-val'))","fixed_effect_variance_C(dominance, Treatment(reference='-dom'))",fixed_effect_variance_log_frequency,fixed_effect_variance_lex_emb_norm,fixed_effect_variance_profession_embedding
meta-llama_Llama-3.1-70B,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__meta-llama_Llama-3.1-70B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,38549.219291853864,38703.22222442423,-19254.609645926932,0.6206317986965556,0.7146481600269938,0.7146481600269938,[],0.040220059855404555,0.0001287912501994646,0.0019060736209493784,0.00010152941943214288,0.0013707764264892313,-0.0010073434110075552,0.015597457640619525,1.4942115363232502
meta-llama_Llama-3.1-8B,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__meta-llama_Llama-3.1-8B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,37680.892546046874,37842.595625245754,-18819.446273023437,0.5884373689792769,0.7581675099131066,0.7581675099131066,[],0.02305378318192498,,0.023157221715391037,0.00016378952700492054,0.00027573607183579475,0.03332228242580031,0.024078599101060874,1.7384939306503175
mistralai_Mistral-7B-v0.3,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__mistralai_Mistral-7B-v0.3/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,37793.08285646788,37962.486082295276,-18874.54142823394,0.5924602065354962,0.7489626135446203,0.7489626135446203,[],0.023983579181938882,0.00011580186563997556,0.0014165507615686518,0.00022969615424298055,0.0018440699023185036,0.02395017054488907,-0.006977334352190626,1.720750350898914
tiiuae_Falcon3-10B-Base,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__tiiuae_Falcon3-10B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_5 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,42289.09181545804,42419.99430814285,-21127.54590772902,0.7806137426749965,0.6834667082258092,0.6834667082258092,[],0.027344994670860278,,0.020327413516482613,0.008114223381191166,,0.010206519830140282,-0.054658944310123095,1.6725342030939991
tiiuae_Falcon3-3B-Base,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__tiiuae_Falcon3-3B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_4 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,35906.2441960313,36052.546981973144,-17934.12209801565,0.5278711327331156,0.7161962905939714,0.7161962905939714,[],0.014586083930211994,,0.014258648349099413,0.0006673461848772164,0.0011302381572015092,0.032961111549196065,-0.009320798595739919,1.2763636300976264
tiiuae_Falcon3-7B-Base,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__tiiuae_Falcon3-7B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,40157.92604611636,40304.2288320582,-20059.96302305818,0.6849678537507182,0.6674532554273039,0.6674532554273039,[],0.034862413629374575,0.0006125131744769093,0.04782602873317605,0.007061838148215152,,0.023151185923457114,-0.039748955407137763,1.299514832894208
EleutherAI_pythia-12b-deduped,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__EleutherAI_pythia-12b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,54035.86419856255,54189.867131132916,-26997.932099281275,1.6030679877054461,0.5127305884010512,0.5127305884010512,[],0.021062749395727262,0.00011035142884345863,0.0016359979414199584,,0.00015256086676244382,0.03325978274252737,-0.013859617923682814,1.6425069496622728
EleutherAI_pythia-2.8b-deduped,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__EleutherAI_pythia-2.8b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,49603.24057978504,49764.94365898392,-24780.62028989252,1.221709672557027,0.45494881038203516,0.45494881038203516,[],0.0104645123368589,0.0013960742889093387,6.94136211351308e-05,0.003217223908161998,0.0034907551267401044,,-0.0038005399235755194,1.0036617121334173
EleutherAI_pythia-6.9b-deduped,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__EleutherAI_pythia-6.9b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,52510.904890690246,52680.30811651764,-26233.452445345123,1.4598822186880596,0.5092884703495588,0.5092884703495588,[],0.00781768475354605,0.00024639114318240505,0.0034131689377816833,0.002608848872424491,0.0001695405061441706,0.018838510256259645,-0.01139693414857358,1.4915022306413335
Qwen_Qwen3-4B-Base,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__Qwen_Qwen3-4B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,48569.7032419774,48739.10646780479,-24262.8516209887,1.146668247409817,0.5388769563693399,0.5388769563693399,[],0.00853080298689744,0.004985127611973268,0.03218248493218143,0.003922792933673993,0.00019393314457926786,0.002741702282291195,-0.0004357074637545428,1.2861722890874878
Qwen_Qwen3-8B-Base,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__Qwen_Qwen3-8B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,50136.05153605971,50305.45476188711,-25046.025768029856,1.262176718942552,0.5215021357569314,0.5215021357569314,[],0.019667879624567956,0.001676346345301947,0.02835896846790931,0.00858756866580702,0.0012466928693619778,-0.0026358412102272305,-0.002557117751493621,1.3194982460438505
allenai_Olmo-3-1025-7B,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__allenai_Olmo-3-1025-7B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,49291.51220899495,49460.915434822346,-24623.756104497475,1.198521905190785,0.5623157391667326,0.5623157391667326,[],0.010535637473029694,0.0006836333236006547,0.012097876504672015,0.006326639203889461,0.0004696403869947628,9.371759066365004e-05,0.01670886731230877,1.490905943347337
allenai_Olmo-3-1125-32B,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__allenai_Olmo-3-1125-32B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,51786.56748319179,51940.57041576216,-25873.283741595897,1.3966754470014,0.5398107491210673,0.5398107491210673,[],0.04141920171297047,,0.07908299493508462,0.003256147621204505,0.003260867574047419,0.002740069883346387,0.004041661450782795,1.5026184534879983
google_gemma-3-12b-pt,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__google_gemma-3-12b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9",OLS,closed_form,True,16320,49155.27236133464,49309.275293905004,-24557.63618066732,1.1887037326859218,0.5008910046926647,0.5008910046926647,[],0.009986042029021876,,0.005603916434424692,0.0008810346607791737,3.275575281831695e-05,-0.005980604322176622,0.015848520438306445,1.1651872594648112
google_gemma-3-4b-pt,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__google_gemma-3-4b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,48253.178430191765,48422.58165601916,-24104.589215095883,1.1246430074521134,0.4713471307952891,0.4713471307952891,[],0.012014540384283082,0.0002995851343359658,0.038632083793978485,0.0030853658930124336,0.00032378956113392654,-0.010842497587061082,0.0020218422585827674,0.955907131388723
gpt2,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__gpt2/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,42304.95411525484,42474.357341082236,-21130.47705762742,0.7811337644433148,0.5599402091295369,0.5599402091295369,[],0.01218888645256252,0.002666182042452805,0.00014678671151132405,0.0023975786566796976,0.0007556681178630503,0.0098740598342765,0.06136952522011444,0.9032513171041175
meta-llama_Llama-3.1-70B,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__meta-llama_Llama-3.1-70B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9",OLS,closed_form,True,16320,46572.5312019475,46726.53413451787,-23266.26560097375,1.0147144213699846,0.5334582794610578,0.5334582794610578,[],0.0402200598554047,0.00012879125019949603,0.0019060736209492773,0.00010152941943211326,0.0013707764264892384,,0.007345497208429167,1.107832355956389
meta-llama_Llama-3.1-8B,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__meta-llama_Llama-3.1-8B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,48170.77629342235,48332.47937262123,-24064.388146711175,1.1190473038169688,0.5401005947727081,0.5401005947727081,[],0.02305378318192541,,0.02315722171539126,0.00016378952700493105,0.00027573607183575,0.0032589347257332407,0.011827704676904593,1.2508485350565188
mistralai_Mistral-7B-v0.3,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__mistralai_Mistral-7B-v0.3/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,45451.78525518285,45621.18848101024,-22703.892627591424,0.9472536886982202,0.5986294308075661,0.5986294308075661,[],0.02398357918193894,0.00011580186563995533,0.0014165507615686037,0.0002296961542430132,0.0018440699023184832,-0.0407786028389181,0.024915663600204196,1.3992492078740155
tiiuae_Falcon3-10B-Base,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__tiiuae_Falcon3-10B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,49388.080765779974,49557.48399160737,-24672.040382889987,1.2056348116561106,0.5112736378370408,0.5112736378370408,[],0.027344994670860337,0.00016604051821043122,0.020327413516482297,0.008114223381191124,0.00014813271584545554,-0.006993077504910293,0.10137712551160111,1.1091485972934687
tiiuae_Falcon3-3B-Base,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__tiiuae_Falcon3-3B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,44029.544712746014,44198.94793857341,-21992.772356373007,0.8681980457510399,0.5333094308518485,0.5333094308518485,[],0.014586083930211631,8.235203170067876e-05,0.014258648349099455,0.0006673461848772393,0.001130238157201497,0.005364380099253194,0.06999265797781458,0.8847726285003459
tiiuae_Falcon3-7B-Base,raw_counts,Raw counts,selected_profession_embedding,profession_selected_collocates_data/runs/raw_counts/he_she_odds_results__tiiuae_Falcon3-7B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,45364.912286936305,45534.3155127637,-22660.456143468153,0.9422247605813001,0.5426411475864932,0.5426411475864932,[],0.034862413629374485,0.0006125131744769091,0.04782602873317582,0.00706183814821539,0.0002457298174639386,-0.015248564629901436,0.06173215140317526,0.9793878103062783
