target_model,predictor,folded_shapley_r2
Qwen_Qwen3-8B-Base — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0032597874995638
Qwen_Qwen3-8B-Base — TF-IDF,lex_emb_norm,0.0206923396969254
Qwen_Qwen3-8B-Base — TF-IDF,log_frequency,0.0051411138003105
Qwen_Qwen3-8B-Base — TF-IDF,profession_embedding,0.6724674341287389
Qwen_Qwen3-8B-Base — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0004732368368154
Qwen_Qwen3-8B-Base — log(1 + x) counts,C(semantic_role),0.0006363306162677
Qwen_Qwen3-8B-Base — log(1 + x) counts,C(syntactic_role),0.0107648875379946
Qwen_Qwen3-8B-Base — log(1 + x) counts,C(tense),0.007465804424758
Qwen_Qwen3-8B-Base — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0032597874995638
Qwen_Qwen3-8B-Base — log(1 + x) counts,lex_emb_norm,0.0065907097508605
Qwen_Qwen3-8B-Base — log(1 + x) counts,log_frequency,0.0186403492319844
Qwen_Qwen3-8B-Base — log(1 + x) counts,profession_embedding,0.4456829677292415
allenai_Olmo-3-1025-7B — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0001717274099725
allenai_Olmo-3-1025-7B — PPMI,C(semantic_role),0.0002499754775863
allenai_Olmo-3-1025-7B — PPMI,C(syntactic_role),0.0044236761910724
allenai_Olmo-3-1025-7B — PPMI,C(tense),0.0038524321709859
allenai_Olmo-3-1025-7B — PPMI,"C(valence, Treatment(reference='-val'))",0.0023133814603697
allenai_Olmo-3-1025-7B — PPMI,lex_emb_norm,0.0024214886035967
allenai_Olmo-3-1025-7B — PPMI,log_frequency,0.0173476001088331
allenai_Olmo-3-1025-7B — PPMI,profession_embedding,0.3033371490909525
allenai_Olmo-3-1025-7B — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0001717274099725
allenai_Olmo-3-1025-7B — Raw counts,C(semantic_role),0.0002499754775863
allenai_Olmo-3-1025-7B — Raw counts,C(syntactic_role),0.0044236761910725
allenai_Olmo-3-1025-7B — Raw counts,C(tense),0.0038524321709859
allenai_Olmo-3-1025-7B — Raw counts,"C(valence, Treatment(reference='-val'))",0.0023133814603697
allenai_Olmo-3-1025-7B — Raw counts,lex_emb_norm,0.005318968185251
allenai_Olmo-3-1025-7B — Raw counts,log_frequency,0.0007424824280917
allenai_Olmo-3-1025-7B — Raw counts,profession_embedding,0.545243095843402
allenai_Olmo-3-1025-7B — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0001717274099724
allenai_Olmo-3-1025-7B — TF-IDF,C(semantic_role),0.0002499754775863
allenai_Olmo-3-1025-7B — TF-IDF,C(syntactic_role),0.0044236761910724
allenai_Olmo-3-1025-7B — TF-IDF,C(tense),0.0038524321709859
allenai_Olmo-3-1025-7B — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0023133814603697
allenai_Olmo-3-1025-7B — TF-IDF,lex_emb_norm,0.0082889176057852
allenai_Olmo-3-1025-7B — TF-IDF,log_frequency,0.0065212938646183
allenai_Olmo-3-1025-7B — TF-IDF,profession_embedding,0.6954338146848528
allenai_Olmo-3-1025-7B — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0001717274099725
allenai_Olmo-3-1025-7B — log(1 + x) counts,C(semantic_role),0.0002499754775863
allenai_Olmo-3-1025-7B — log(1 + x) counts,C(syntactic_role),0.0044236761910724
allenai_Olmo-3-1025-7B — log(1 + x) counts,C(tense),0.0038524321709858
allenai_Olmo-3-1025-7B — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0023133814603697
allenai_Olmo-3-1025-7B — log(1 + x) counts,lex_emb_norm,0.0035409261911091
allenai_Olmo-3-1025-7B — log(1 + x) counts,log_frequency,0.0216656361457004
allenai_Olmo-3-1025-7B — log(1 + x) counts,profession_embedding,0.5062037493516643
allenai_Olmo-3-1125-32B — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0010756725149543
allenai_Olmo-3-1125-32B — PPMI,C(syntactic_role),0.0260873531721991
allenai_Olmo-3-1125-32B — PPMI,C(tense),0.0136630807177161
allenai_Olmo-3-1125-32B — PPMI,"C(valence, Treatment(reference='-val'))",0.0010741155294498
allenai_Olmo-3-1125-32B — PPMI,lex_emb_norm,0.0015115619858521
allenai_Olmo-3-1125-32B — PPMI,log_frequency,0.0192653443640431
allenai_Olmo-3-1125-32B — PPMI,profession_embedding,0.2351702665899664
allenai_Olmo-3-1125-32B — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0010756725149543
allenai_Olmo-3-1125-32B — Raw counts,C(syntactic_role),0.0260873531721991
allenai_Olmo-3-1125-32B — Raw counts,C(tense),0.0136630807177161
allenai_Olmo-3-1125-32B — Raw counts,"C(valence, Treatment(reference='-val'))",0.0010741155294498
allenai_Olmo-3-1125-32B — Raw counts,lex_emb_norm,0.00137416345447
allenai_Olmo-3-1125-32B — Raw counts,log_frequency,0.0012159623782236
allenai_Olmo-3-1125-32B — Raw counts,profession_embedding,0.4953204013540557
allenai_Olmo-3-1125-32B — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0010756725149543
allenai_Olmo-3-1125-32B — TF-IDF,C(syntactic_role),0.0260873531721992
allenai_Olmo-3-1125-32B — TF-IDF,C(tense),0.0136630807177161
allenai_Olmo-3-1125-32B — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0010741155294498
allenai_Olmo-3-1125-32B — TF-IDF,lex_emb_norm,0.0093460699534594
allenai_Olmo-3-1125-32B — TF-IDF,log_frequency,0.0136959027797833
allenai_Olmo-3-1125-32B — TF-IDF,profession_embedding,0.668187233325866
allenai_Olmo-3-1125-32B — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0010756725149543
allenai_Olmo-3-1125-32B — log(1 + x) counts,C(syntactic_role),0.0260873531721991
allenai_Olmo-3-1125-32B — log(1 + x) counts,C(tense),0.0136630807177161
allenai_Olmo-3-1125-32B — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0010741155294498
allenai_Olmo-3-1125-32B — log(1 + x) counts,lex_emb_norm,0.0013164173141967
allenai_Olmo-3-1125-32B — log(1 + x) counts,log_frequency,0.0198734193251637
allenai_Olmo-3-1125-32B — log(1 + x) counts,profession_embedding,0.420644849000704
google_gemma-3-12b-pt — PPMI,C(syntactic_role),0.0023556966218267
google_gemma-3-12b-pt — PPMI,C(tense),0.0041977937659237
google_gemma-3-12b-pt — PPMI,"C(valence, Treatment(reference='-val'))",0.000370357124057
google_gemma-3-12b-pt — PPMI,lex_emb_norm,0.009670132412446
google_gemma-3-12b-pt — PPMI,log_frequency,0.0228433976980469
google_gemma-3-12b-pt — PPMI,profession_embedding,0.2675084392661941
google_gemma-3-12b-pt — Raw counts,"C(dominance, Treatment(reference='-dom'))",1.3769408798738558e-05
google_gemma-3-12b-pt — Raw counts,C(syntactic_role),0.0023556966218268
google_gemma-3-12b-pt — Raw counts,C(tense),0.0041977937659238
google_gemma-3-12b-pt — Raw counts,"C(valence, Treatment(reference='-val'))",0.000370357124057
google_gemma-3-12b-pt — Raw counts,lex_emb_norm,0.0066355439281206
google_gemma-3-12b-pt — Raw counts,log_frequency,0.0014512093269997
google_gemma-3-12b-pt — Raw counts,profession_embedding,0.4858666345169382
google_gemma-3-12b-pt — TF-IDF,C(syntactic_role),0.0023556966218268
google_gemma-3-12b-pt — TF-IDF,C(tense),0.0041977937659237
google_gemma-3-12b-pt — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0003703571240569
google_gemma-3-12b-pt — TF-IDF,lex_emb_norm,0.0071346729677209
google_gemma-3-12b-pt — TF-IDF,log_frequency,0.0100304752898272
google_gemma-3-12b-pt — TF-IDF,profession_embedding,0.7026449120115282
google_gemma-3-12b-pt — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",1.3769408798722128e-05
google_gemma-3-12b-pt — log(1 + x) counts,C(semantic_role),9.17479163770385e-06
google_gemma-3-12b-pt — log(1 + x) counts,C(syntactic_role),0.0023556966218267
google_gemma-3-12b-pt — log(1 + x) counts,C(tense),0.0041977937659238
google_gemma-3-12b-pt — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.000370357124057
google_gemma-3-12b-pt — log(1 + x) counts,lex_emb_norm,0.0066298533522159
google_gemma-3-12b-pt — log(1 + x) counts,log_frequency,0.0190903851824089
google_gemma-3-12b-pt — log(1 + x) counts,profession_embedding,0.449614744570149
google_gemma-3-4b-pt — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0001523975476158
google_gemma-3-4b-pt — PPMI,C(semantic_role),0.0001410052863195
