target_model,predictor,unique_r2,relative_r2
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_2,0.1931925314305389,0.4257248627801169
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_9,0.17481352430904,0.3852243308656722
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_8,0.0242352782881621,0.0534055868892395
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_6,0.0133041026654523,0.0293173200833527
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_4,0.0129398885574588,0.0285147269396117
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_1,0.0124352633781422,0.0274027197433232
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_5,0.0104899739021663,0.0231160214476118
EleutherAI_pythia-2.8b-deduped — Raw counts,C(tense),0.0046743460040292,0.0103005291996374
EleutherAI_pythia-2.8b-deduped — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0015592697253793,0.0034360535832255
EleutherAI_pythia-2.8b-deduped — Raw counts,"C(valence, Treatment(reference='-val'))",0.001437087294189,0.0031668087093813
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_7,0.001281351904791,0.0028236255294182
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_3,0.0012234904618035,0.002696120316387
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding_10,0.0011698581580703,0.0025779345615944
EleutherAI_pythia-2.8b-deduped — Raw counts,C(semantic_role),0.0006236061522625,0.0013741972406229
EleutherAI_pythia-2.8b-deduped — Raw counts,lex_emb_norm,0.0003861066602302,0.0008508362291639
EleutherAI_pythia-2.8b-deduped — Raw counts,C(syntactic_role),3.1006058584859275e-05,6.832588164070653e-05
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_2,0.2100936084292697,0.4935099912016735
EleutherAI_pythia-2.8b-deduped — TF-IDF,lex_emb_norm,0.0470565715408187,0.1105359100674813
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_9,0.04314921158748,0.1013575195842547
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_10,0.0358578825111433,0.0842301839398536
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_7,0.0233545251341911,0.0548597912124212
EleutherAI_pythia-2.8b-deduped — TF-IDF,log_frequency,0.0211280474865667,0.0496297941053947
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_4,0.0176118817837059,0.0413703191120532
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_3,0.0080803178769472,0.0189806707313587
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_8,0.0061058860320183,0.0143427293408321
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(tense),0.0046743460040294,0.0109800410996262
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_1,0.0037957859146842,0.0089163030106643
EleutherAI_pythia-2.8b-deduped — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0015592697253792,0.003662725364213
EleutherAI_pythia-2.8b-deduped — TF-IDF,"C(valence, Treatment(reference='-val'))",0.001437087294189,0.0033757187722825
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_5,0.0006779509742174,0.0015925071772654
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(semantic_role),0.0006236061522625,0.0014648511633327
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding_6,0.0004759943091894,0.00111811087018
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(syntactic_role),3.1006058584859275e-05,7.283324711215092e-05
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_4,0.1446600648158199,0.3222649751376191
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_6,0.1442090061749902,0.3212601338785081
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_1,0.0422381528434515,0.0940956116208326
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_10,0.0295773202016176,0.0658905716069423
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_2,0.0295369874102388,0.0658007206447747
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,log_frequency,0.0258852306524615,0.0576655569957603
