target_model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,baseline_r2,full_r2
Qwen_Qwen3-4B-Base — Raw counts,"C(valence, Treatment(reference='-val'))",0.0015795509985049,6.175311980153337e-18,0.0029311904690581,500,0,0.0,0.5388769563693399
Qwen_Qwen3-4B-Base — Raw counts,log_frequency,0.0013102876980189,4.993335187935461e-05,0.0024315155482745,500,0,0.0,0.5388769563693399
Qwen_Qwen3-4B-Base — Raw counts,lex_emb_norm,0.0002143663638149,6.930370060546263e-06,0.0003978020608995,500,0,0.0,0.5388769563693399
Qwen_Qwen3-4B-Base — Raw counts,"C(dominance, Treatment(reference='-dom'))",7.808908024019078e-05,6.448164003806882e-18,0.000144910780313,500,0,0.0,0.5388769563693399
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding,0.6974154965706001,0.0007539055369912,0.9424058289621888,500,0,0.0,0.7400373333202098
Qwen_Qwen3-4B-Base — TF-IDF,C(syntactic_role),0.012958592785418,7.113320077722682e-18,0.0175107284483592,500,0,0.0,0.7400373333202098
Qwen_Qwen3-4B-Base — TF-IDF,log_frequency,0.0128790488168199,0.0004918745342396,0.017403242021639,500,0,0.0,0.7400373333202098
Qwen_Qwen3-4B-Base — TF-IDF,lex_emb_norm,0.0096842332244381,0.0004417646411677,0.0130861414531472,500,0,0.0,0.7400373333202098
Qwen_Qwen3-4B-Base — TF-IDF,C(tense),0.0034350113818988,6.232443284642167e-18,0.0046416730984199,500,0,0.0,0.7400373333202098
Qwen_Qwen3-4B-Base — TF-IDF,C(semantic_role),0.0020073104622911,6.0562049900278545e-18,0.0027124448617819,500,0,0.0,0.7400373333202098
Qwen_Qwen3-4B-Base — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0015795509985048,6.0558764389781124e-18,0.0021344206939103,500,0,0.0,0.7400373333202098
Qwen_Qwen3-4B-Base — TF-IDF,"C(dominance, Treatment(reference='-dom'))",7.808908024018368e-05,6.169132130906509e-18,0.0001055204605554,500,0,0.0,0.7400373333202098
Qwen_Qwen3-8B-Base — log(1 + x) counts,profession_embedding,0.4456829677292415,0.0008927510098068,0.9030805635456924,500,0,0.0,0.4935140736274871
Qwen_Qwen3-8B-Base — log(1 + x) counts,log_frequency,0.0186403492319844,0.0008555471451096,0.0377706538234499,500,0,0.0,0.4935140736274871
Qwen_Qwen3-8B-Base — log(1 + x) counts,C(syntactic_role),0.0107648875379946,7.677632979954812e-18,0.0218127265527998,500,0,0.0,0.4935140736274871
Qwen_Qwen3-8B-Base — log(1 + x) counts,C(tense),0.007465804424758,7.006628604246719e-18,0.0151278450275632,500,0,0.0,0.4935140736274871
