target_model,model_name,runs,mean_aic,mean_bic,mean_R2c,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance,converged_rate
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__4__C_dominance_C_semantic_role_,1,7194.498237347165,7453.386287820818,0.9025944781146082,0.0020600736327114,0.0302802321389581,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_valence_C_semantic_role_,1,7195.314252171149,7481.453676378871,0.9026959273658373,0.0020611743858757,0.0302778363765925,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_syntactic_role_C_valence_,1,7195.584005305398,7481.72342951312,0.9026918135801942,0.0020611488122182,0.0302777877311086,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_dominance_C_semantic_role_,1,7196.260494135953,7482.399918343675,0.9026816051228985,0.0020610730718785,0.0302776661288236,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_valence_C_dominance_,1,7206.198210009978,7478.7119473506655,0.9024966248702265,0.0020598362314761,0.0303017374466207,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__3__C_valence_C_dominance_,1,7207.132707945333,7472.833601852503,0.9024577664538692,0.0020557704723723,0.0302711344325126,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_tense_C_valence_,1,7207.7142277568055,7452.976591363425,0.902357801902797,0.0020548683916131,0.0302656888908632,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_valence_C_dominance_,1,7208.110151862471,7487.4367326366755,0.9024977830007935,0.0020598426938276,0.0303015559205797,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__4__C_valence_C_dominance_,1,7208.334848703147,7467.222899176801,0.9024124426043028,0.0020552991645694,0.0302701598991984,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__3__C_tense_C_valence_,1,7208.644565570088,7447.09408574319,0.9022956211778932,0.0020561232804937,0.0302691421899398,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_tense_C_valence_,1,7209.626295234193,7461.701502274329,0.902359419012459,0.0020548818158976,0.0302658544384402,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__4__C_tense_C_valence_,1,7209.84214933317,7441.478826072755,0.9022474482462223,0.0020552078832676,0.0302653979937473,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_valence_C_dominance_,1,7210.1100412571395,7496.249465464862,0.9024977844528019,0.0020598427019233,0.030301555690035,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_tense_C_valence_,1,7211.62618478667,7470.514235260323,0.9023594210334897,0.00205488183299,0.0302658546467612,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_tense_C_dominance_,1,7220.881347145747,7466.143710752366,0.9021871151458813,0.0020512935433975,0.0302715368134477,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__3__C_tense_C_dominance_,1,7221.8059113841955,7460.255431557297,0.9021101387542062,0.0020499196467509,0.030244626890809,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_tense_C_dominance_,1,7222.793589855384,7474.86879689552,0.9021903346423965,0.0020510803935409,0.0302743185040773,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__4__C_tense_C_dominance_,1,7222.997202286118,7454.633879025703,0.9020704669915688,0.0020499411965031,0.0302396342259243,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_tense_C_semantic_role_,1,7223.881793120869,7469.144156727488,0.9020979139520791,0.0020519193804581,0.0302489059719172,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_tense_C_dominance_,1,7224.793479628039,7483.681530101692,0.9021903383504137,0.0020510801336808,0.0302743218504,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__3__C_tense_C_semantic_role_,1,7224.805052385869,7463.254572558971,0.9020736057976878,0.0020499344164965,0.0302410484438271,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_tense_C_semantic_role_,1,7225.794078838502,7477.869285878638,0.9021077079440517,0.0020500578226818,0.0302439743719129,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__4__C_tense_C_semantic_role_,1,7225.994904277126,7457.631581016711,0.9019853357374833,0.0020506024311173,0.0302470149135776,,,1.0
