profession,profession_embedding_1,profession_embedding_2,profession_embedding_3,profession_embedding_4,profession_embedding_5,profession_embedding_6,profession_embedding_7,profession_embedding_8,profession_embedding_9,profession_embedding_10
farmer,3.357030796553951,1.8965590946103585,-3.2137277041584587,-3.4422654313820362,-2.214669609859059,-2.241460465843045,-0.40564867678184896,1.4924074514107493,-1.5162313043310895,0.9481940863474098
welder,0.7550829320364677,1.141023378220058,0.6350028545284029,0.030327619770373803,-0.1656488962091175,-0.4151215663524931,0.42333038965979763,-0.29770171212934426,0.30404499249558853,0.11072353862619488
molder,0.05287355344016001,0.05461114629675073,-0.10852866044688357,0.003764910158139282,-0.04366038641746297,-0.001980530434140326,0.11044200306297101,0.015329242856793213,0.005489930824397317,0.012719273683244907
bookbinder,2.415158869095662,6.985177003312878,7.3949176488294865,-0.693453823912459,-2.3691960547158812,-0.21192617124123778,2.236903359085156,0.17556358009698966,-0.3264889095235562,-1.6641537338662398
electrician,2.285223820251504,0.9638668696674102,-1.4507720473881585,5.4626531660730295,-2.8429085841219806,0.25297623490689247,-0.48223185915059325,2.2279258591204947,5.190217289297471,2.5497435873785794
tradesperson,0.00898679002699976,0.013484441638878268,-0.008760710566388505,0.013218419564724505,0.009459916610389876,0.0015259221664581358,0.0002789889009299485,0.011964378738393493,-0.006408800711592207,-0.0027956740683521344
chauffeur,2.552915349684043,1.5722662619002052,-1.4328671696186064,1.3039027955713218,0.747774713957485,-1.940021895375757,-1.3948821473801523,-2.9387311264159686,-2.491266005665318,0.7532179764435675
housekeeper,3.3599942255308974,5.585334738186205,0.9908397043032968,4.169459402205282,0.2863034842777372,-3.329599892161023,-0.5881044329510738,1.4218860104502156,-1.7285696632939966,2.238169147648089
farmhand,0.9480453877240023,0.12642878884130232,0.03714392616741229,0.45710831074558667,0.8957908028130307,-0.786149759314131,1.3843448526799844,0.6302643835467528,0.22041446269621778,-0.2764523237471602
builder,4.466530631225932,1.3833463515056477,-0.9373596677558362,-2.885419880880494,-0.4695923217610576,4.880302999883482,-1.926474787059093,6.061113659582213,-1.8148873464959892,0.6699136649662276
hawker,0.8735202484182328,0.4794986216567839,-1.303443056096756,-0.33414035151855676,-0.761783202654283,0.3502603108012742,0.018678988719622314,0.4500704920857586,0.7953215726905444,-0.5609780963523944
nurse,1.67733809708778,1.4974666833063817,0.426135198514886,0.4433979645128379,0.15281691844997614,0.302266685279015,0.5160983406829358,-0.41816864639688484,-0.12405909670466507,-0.015378925040323784
secretary,4.731799071658495,-0.13210371984042163,-0.9143792941967398,-1.0490404916460174,-1.9164409596155825,-2.9924708640126836,-1.726836302987048,-0.20817409995835567,0.31663273349819826,1.5737671919477696
hairdresser,2.967838411297518,2.27441149082762,-1.8489750400575264,3.0558983297453395,7.630247155142518,-0.31188209191118116,0.5491898193000422,1.7452769086534243,0.4688892158394113,-2.5534219872276913
