target_model,model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
Qwen_Qwen3-4B-Base,Human-Perception Model,"C(valence, Treatment(reference='-val'))",0.000325387505692,2.859744549939676e-05,0.0005933456608743,500,0,0.5483945146114433
Qwen_Qwen3-4B-Base,Human-Perception Model,"C(dominance, Treatment(reference='-dom'))",2.5613218318770943e-05,1.641200320711358e-06,4.670582516114117e-05,500,0,0.5483945146114433
Qwen_Qwen3-8B-Base,World-Knowledge Model,male_perc,0.132305183191743,0.0097388153954488,0.2666446993770223,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,"male_perc:C(valence, Treatment(reference='-val'))",0.1242043301230302,0.0095238794760844,0.2503184340025666,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,male_perc:C(semantic_role),0.1193719944495859,0.0093951800482348,0.2405794603520254,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1157029288494324,0.0093146277249508,0.2331849133634191,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.001602274020956,7.456751703806197e-05,0.003229184710158,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0012802407252344,7.184670645946313e-05,0.0025801665140785,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,"C(valence, Treatment(reference='-val'))",0.0011670039248438,6.995971708865033e-05,0.0023519517769823,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,C(semantic_role),0.0003232559530639,1.424121208012831e-05,0.000651482310422,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,World-Knowledge Model,"C(dominance, Treatment(reference='-dom'))",0.000228100155345,1.0585629000252489e-05,0.0004597075933274,500,0,0.4961853113932339
Qwen_Qwen3-8B-Base,Human-Perception Model,male_perc,0.1675865653762082,0.0104061197984055,0.3246041360656906,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,male_perc:C(tense),0.1640360326678554,0.0103147140509467,0.3177269881285597,500,0,0.5162798213461258
